id,amount_requested,amount_funded_by_investor,interest_rate,loan_length,loan_purpose,debt_to_income_ratio,home_ownership,monthly_income,open_credit_lines,revolving_credit_balance,inquiries_in_last_six_mths,employment_length
81174,20000,20000,0.09,36,debt_consolidation,0.15,MORTGAGE,6541.67,14,14272,2,1
99592,19200,19200,0.12,36,debt_consolidation,0.28,MORTGAGE,4583.33,12,11140,1,2
80059,35000,35000,0.22,60,debt_consolidation,0.24,MORTGAGE,11500,14,21977,1,2
15825,10000,9975,0.1,36,debt_consolidation,0.14,MORTGAGE,3833.33,10,9346,0,5
33182,12000,12000,0.12,36,credit_card,0.19,RENT,3195,11,14469,0,9
62403,6000,6000,0.15,36,other,0.2,OWN,4891.67,17,10391,2,3
48808,10000,10000,0.08,36,debt_consolidation,0.26,RENT,2916.67,10,15957,0,10
22090,33500,33450,0.17,60,credit_card,0.15,MORTGAGE,13863.42,12,27874,0,10
76404,14675,14675,0.14,36,credit_card,0.27,RENT,3150,9,7246,1,8
15867,1000,7000,0.07,36,credit_card,0.07,RENT,5000,8,7612,0,3
94971,2000,2000,0.2,36,moving,0.1,RENT,3575,10,12036,0,6
36911,10625,10625,0.14,36,debt_consolidation,0.13,MORTGAGE,4250,14,10767,0,1
41200,28000,27975,0.22,60,debt_consolidation,0.13,MORTGAGE,14166.67,12,10311,0,1
83869,35000,34950,0.09,36,debt_consolidation,0.2,RENT,9166.67,19,21536,0,1
53853,9600,9600,0.08,36,debt_consolidation,0.03,RENT,11250,13,4606,0,1
21399,25000,24975,0.16,60,debt_consolidation,0.22,RENT,5416.67,6,13929,0,9
62127,10000,10000,0.12,36,debt_consolidation,0.18,RENT,9000,18,20317,0,7
23446,14000,13900.25,0.1,60,debt_consolidation,0.12,RENT,4333.33,6,7419,0,9
44987,10000,10000,0.1,36,credit_card,0.07,RENT,2733.33,7,6112,2,3
17977,5200,5175,0.1,60,debt_consolidation,0.1,MORTGAGE,3750,10,16094,0,1
86099,22000,21975,0.22,36,debt_consolidation,0.11,MORTGAGE,6666.67,9,23124,0,10
99483,30000,30000,0.19,60,credit_card,0.21,MORTGAGE,6250,12,34927,0,6
28798,6500,6500,0.18,60,car,0.2,RENT,4100,11,11697,1,2
24168,17400,17400,0.12,36,credit_card,0.12,RENT,6833.33,7,26587,0,7
10356,4000,4000,0.17,60,vacation,0.14,MORTGAGE,4500,5,20804,0,3
46027,7200,7200,0.08,36,debt_consolidation,0.25,RENT,5416.67,8,12017,0,7
2238,8000,8000,0.14,36,debt_consolidation,0.25,RENT,2964.17,9,8928,2,6
65278,8000,8000,0.15,36,debt_consolidation,0.15,MORTGAGE,2916.67,4,7152,1,5
4227,3000,212,0.09,36,other,0.04,MORTGAGE,4167,4,7074,0,5
50182,14500,14500,0.08,36,debt_consolidation,0.05,MORTGAGE,3958.33,4,9598,0,4
87023,23850,23850,0.21,60,debt_consolidation,0.29,MORTGAGE,5833.33,19,25968,3,9
46120,14000,14000,0.12,36,debt_consolidation,0.15,MORTGAGE,10583.33,9,35457,0,2
30756,35000,34975,0.16,60,debt_consolidation,0.07,MORTGAGE,10416.67,7,31414,0,8
94582,16000,16000,0.16,60,car,0.12,RENT,5250,14,154,1,3
457,17350,7019.25,0.14,36,debt_consolidation,0.19,OWN,3666.67,8,18966,2,6
96536,8000,7975,0.08,36,car,0.3,MORTGAGE,5583.33,9,6065,1,10
39591,7200,7200,0.08,36,debt_consolidation,0.08,RENT,5666.67,5,8783,0,3
78862,20125,20125,0.08,36,home_improvement,0.04,MORTGAGE,3750,13,73952,0,1
54619,12000,11875,0.09,36,debt_consolidation,0.12,RENT,5000,11,14717,0,4
101798,1000,1850,0.12,36,home_improvement,0.21,MORTGAGE,3448.33,10,18749,5,1
98029,3200,3200,0.17,36,home_improvement,0.08,MORTGAGE,2500,7,6619,1,3
95579,12725,12725,0.11,36,debt_consolidation,0.22,RENT,4416.67,23,4079,0,3
4868,5500,5500,0.19,36,credit_card,0.04,RENT,12000,2,0,1,8
26822,15650,15650,0.22,36,house,0.14,RENT,3700,5,10605,1,4
98445,9000,9000,0.17,36,credit_card,0.25,RENT,5166.67,14,5852,1,10
14958,5000,5000,0.12,36,major_purchase,0.04,RENT,5577,3,1069,0,1
14754,3000,3000,0.1,36,debt_consolidation,0.15,RENT,3083.33,11,3098,0,2
34501,20000,19975,0.24,60,debt_consolidation,0.09,MORTGAGE,11250,5,11168,0,1
26888,5450,5450,0.07,60,other,0.02,MORTGAGE,4600,14,4326,0,10
81759,14000,14000,0.12,36,debt_consolidation,0.11,MORTGAGE,4500,22,18583,0,5
10825,8800,8799.04,0.1,60,credit_card,0.22,RENT,3750,11,18694,1,2
16667,3000,212,0.17,36,other,0.16,RENT,7952,4,12578,0,8
92046,32000,32000,0.17,60,debt_consolidation,0.16,RENT,9250,15,32566,1,2
88279,22250,22250,0.21,60,debt_consolidation,0.29,RENT,4166.67,15,14107,0,9
17218,7325,7300,0.18,60,debt_consolidation,0.2,OWN,3000,6,13583,0,5
82406,16450,16450,0.11,36,debt_consolidation,0.08,RENT,7500,5,2928,0,1
17143,2500,2500,0.13,36,debt_consolidation,0.16,RENT,1100,6,5019,1,4
27486,6000,6000,0.1,36,other,0.08,MORTGAGE,2625,4,5167,0,10
96613,27575,27575,0.14,36,debt_consolidation,0.2,MORTGAGE,5166.67,6,8720,0,10
6263,1000,1000,0.09,36,educational,0.11,OWN,4583.33,22,17069,1,1
29283,12000,12000,0.11,36,debt_consolidation,0.13,RENT,2708.33,8,12150,1,1
99766,30000,30000,0.1,36,debt_consolidation,0.22,MORTGAGE,8000,14,33218,0,10
85893,13500,13500,0.14,NA,debt_consolidation,0.32,RENT,4166.67,11,31168,0,1
98972,9000,9000,0.16,36,debt_consolidation,0.23,MORTGAGE,3250,9,16480,0,3
44054,15000,15000,0.1,36,debt_consolidation,0.09,MORTGAGE,4250,11,11615,1,10
51948,5300,5300,0.08,36,medical,0.13,RENT,5500,8,9996,2,1
48676,7000,7000,0.13,36,debt_consolidation,0.17,RENT,3650,12,6444,1,5
82294,20000,19975,0.16,36,debt_consolidation,0.12,RENT,9166.67,10,12421,3,1
20328,15000,14993.57,0.18,60,debt_consolidation,0.14,RENT,2916.67,4,12786,0,1
71489,8000,8000,0.14,36,home_improvement,0.12,RENT,5000,10,1275,1,6
43203,24000,23947.48,0.19,60,debt_consolidation,0.04,RENT,7500,6,8568,1,10
48319,7500,7500,0.09,36,debt_consolidation,0.1,RENT,5500,9,2382,0,6
5367,17000,16875,0.12,36,debt_consolidation,0.13,RENT,4583.33,5,3644,1,6
83768,12000,12000,0.17,36,credit_card,0.15,OWN,4583.33,12,9145,1,10
88084,6000,6000,0.15,36,other,0.16,RENT,3833.33,11,5760,1,10
101540,6725,825,0.13,36,debt_consolidation,0.13,MORTGAGE,5000,10,5513,9,10
9664,4500,4500,0.07,36,debt_consolidation,0.15,MORTGAGE,2666.67,7,2705,0,7
